#         x                 p                rho                u        
-3.3066132265e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.2665330661e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.2264529058e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.1863727455e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.1462925852e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.1062124248e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.0661322645e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-3.0260521042e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.9859719439e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.9458917836e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.9058116232e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.8657314629e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.8256513026e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.7855711423e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.7454909820e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.7054108216e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.6653306613e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.6252505010e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.5851703407e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.5450901804e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.5050100200e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.4649298597e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.4248496994e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.3847695391e-01  1.0000000000e+00  1.0000000000e+00  0.0000000000e+00
-2.3446893788e-01  9.8932990398e-01  9.9236683195e-01  9.0593893676e-03
-2.3046092184e-01  9.6991625354e-01  9.7841804793e-01  2.5759456168e-02
-2.2645290581e-01  9.5083005531e-01  9.6462655886e-01  4.2459522968e-02
-2.2244488978e-01  9.3206669366e-01  9.5099103067e-01  5.9159589768e-02
-2.1843687375e-01  9.1362160513e-01  9.3751013683e-01  7.5859656569e-02
-2.1442885772e-01  8.9549027803e-01  9.2418255837e-01  9.2559723369e-02
-2.1042084168e-01  8.7766825198e-01  9.1100698384e-01  1.0925979017e-01
-2.0641282565e-01  8.6015111745e-01  8.9798210929e-01  1.2595985697e-01
-2.0240480962e-01  8.4293451537e-01  8.8510663824e-01  1.4265992377e-01
-1.9839679359e-01  8.2601413666e-01  8.7237928168e-01  1.5935999057e-01
-1.9438877756e-01  8.0938572180e-01  8.5979875803e-01  1.7606005737e-01
-1.9038076152e-01  7.9304506044e-01  8.4736379313e-01  1.9276012417e-01
-1.8637274549e-01  7.7698799092e-01  8.3507312019e-01  2.0946019097e-01
-1.8236472946e-01  7.6121039988e-01  8.2292547981e-01  2.2616025777e-01
-1.7835671343e-01  7.4570822181e-01  8.1091961995e-01  2.4286032457e-01
-1.7434869739e-01  7.3047743869e-01  7.9905429588e-01  2.5956039137e-01
-1.7034068136e-01  7.1551407949e-01  7.8732827018e-01  2.7626045817e-01
-1.6633266533e-01  7.0081421983e-01  7.7574031272e-01  2.9296052497e-01
-1.6232464930e-01  6.8637398152e-01  7.6428920062e-01  3.0966059177e-01
-1.5831663327e-01  6.7218953218e-01  7.5297371826e-01  3.2636065857e-01
-1.5430861723e-01  6.5825708481e-01  7.4179265724e-01  3.4306072537e-01
-1.5030060120e-01  6.4457289740e-01  7.3074481634e-01  3.5976079217e-01
-1.4629258517e-01  6.3113327255e-01  7.1982900153e-01  3.7646085897e-01
-1.4228456914e-01  6.1793455700e-01  7.0904402595e-01  3.9316092577e-01
-1.3827655311e-01  6.0497314131e-01  6.9838870984e-01  4.0986099257e-01
-1.3426853707e-01  5.9224545942e-01  6.8786188059e-01  4.2656105937e-01
-1.3026052104e-01  5.7974798829e-01  6.7746237265e-01  4.4326112617e-01
-1.2625250501e-01  5.6747724747e-01  6.6718902757e-01  4.5996119297e-01
-1.2224448898e-01  5.5542979874e-01  6.5704069392e-01  4.7666125978e-01
-1.1823647295e-01  5.4360224572e-01  6.4701622731e-01  4.9336132658e-01
-1.1422845691e-01  5.3199123348e-01  6.3711449037e-01  5.1006139338e-01
-1.1022044088e-01  5.2059344817e-01  6.2733435268e-01  5.2676146018e-01
-1.0621242485e-01  5.0940561663e-01  6.1767469082e-01  5.4346152698e-01
-1.0220440882e-01  4.9842450603e-01  6.0813438828e-01  5.6016159378e-01
-9.8196392786e-02  4.8764692347e-01  5.9871233548e-01  5.7686166058e-01
-9.4188376754e-02  4.7706971564e-01  5.8940742976e-01  5.9356172738e-01
-9.0180360721e-02  4.6668976844e-01  5.8021857529e-01  6.1026179418e-01
-8.6172344689e-02  4.5650400658e-01  5.7114468314e-01  6.2696186098e-01
-8.2164328657e-02  4.4650939328e-01  5.6218467119e-01  6.4366192778e-01
-7.8156312625e-02  4.3670292985e-01  5.5333746413e-01  6.6036199458e-01
-7.4148296593e-02  4.2708165535e-01  5.4460199345e-01  6.7706206138e-01
-7.0140280561e-02  4.1764264627e-01  5.3597719741e-01  6.9376212818e-01
-6.6132264529e-02  4.0838301609e-01  5.2746202102e-01  7.1046219498e-01
-6.2124248497e-02  3.9929991501e-01  5.1905541599e-01  7.2716226178e-01
-5.8116232465e-02  3.9039052956e-01  5.1075634077e-01  7.4386232858e-01
-5.4108216433e-02  3.8165208225e-01  5.0256376047e-01  7.6056239538e-01
-5.0100200401e-02  3.7308183123e-01  4.9447664686e-01  7.7726246218e-01
-4.6092184369e-02  3.6467706996e-01  4.8649397837e-01  7.9396252898e-01
-4.2084168337e-02  3.5643512685e-01  4.7861474003e-01  8.1066259578e-01
-3.8076152305e-02  3.4835336491e-01  4.7083792348e-01  8.2736266258e-01
-3.4068136273e-02  3.4042918145e-01  4.6316252691e-01  8.4406272938e-01
-3.0060120240e-02  3.3266000770e-01  4.5558755510e-01  8.6076279618e-01
-2.6052104208e-02  3.2504330852e-01  4.4811201933e-01  8.7746286298e-01
-2.2044088176e-02  3.1757658205e-01  4.4073493742e-01  8.9416292978e-01
-1.8036072144e-02  3.1025735935e-01  4.3345533365e-01  9.1086299658e-01
-1.4028056112e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
-1.0020040080e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
-6.0120240481e-03  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
-2.0040080160e-03  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 2.0040080160e-03  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 6.0120240481e-03  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.0020040080e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.4028056112e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.8036072144e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 2.2044088176e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 2.6052104208e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 3.0060120240e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 3.4068136273e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 3.8076152305e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 4.2084168337e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 4.6092184369e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 5.0100200401e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 5.4108216433e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 5.8116232465e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 6.2124248497e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 6.6132264529e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 7.0140280561e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 7.4148296593e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 7.8156312625e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 8.2164328657e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 8.6172344689e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 9.0180360721e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 9.4188376754e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 9.8196392786e-02  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.0220440882e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.0621242485e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.1022044088e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.1422845691e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.1823647295e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.2224448898e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.2625250501e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.3026052104e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
 1.3426853707e-01  3.0713446523e-01  4.3033444536e-01  9.1809137949e-01
